YouTube新聞,#genre#

TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立新聞,https://www.youtube.com/watch?v=oZdzzvxTfUY
三立財經,https://www.youtube.com/watch?v=CKjSm5ZeehE
中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w
東森新聞,https://www.youtube.com/watch?v=FibwPDIShzw
EBC東森財經,https://www.youtube.com/watch?v=WHEPzbFA3hw
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞台灣台,https://www.youtube.com/watch?v=w87VGpgd90U
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
公共電視,https://www.youtube.com/watch?v=C6gYqSHLRw4
NBC NEW,https://www.youtube.com/watch?v=--ZdMGK9Hn0
CCTV新聞,https://www.youtube.com/watch?v=bEZYrBMYNNg

老高与小茉_热门影片,#genre#
超出你想象的深海世界,https://www.youtube.com/watch?v=dNmwPWRdv_0
【神作】四十分钟讲完三体,https://www.youtube.com/watch?v=2vowHo2y-hI
目前第二长的一期，多重人格分裂,https://www.youtube.com/watch?v=QAGDGja7kbs
人为什麽是人，人类最不可思议的六个特征,https://www.youtube.com/watch?v=EiWuajug1W4
【震撼】这是一部解开所有宇宙之谜的影片,https://www.youtube.com/watch?v=3QS5hyXpNyw
南极和北极，地球上最不可思议的两个地方,https://www.youtube.com/watch?v=jSSIeOlIqu0
千万不要去！世界十大人类禁地,https://www.youtube.com/watch?v=6SwJpgNLvTk
【震撼】这是一部你明天还会再看一遍的影片,https://www.youtube.com/watch?v=odc0ajxCq2c
超出你想象的地球故事,https://www.youtube.com/watch?v=5AseSLCG7wI
目前信息量最大的一期，重力,https://www.youtube.com/watch?v=-TDVKQjmf7c
人类的隐藏能力，从气功到超能力还有另一个世界的存在,https://www.youtube.com/watch?v=3Okf8nOIVLY
目前最长的一期，只有五岁抬头才能看懂的天能（信条）,https://www.youtube.com/watch?v=UiyWuEwxCNQ
【震撼】2045年，人类究竟是灭绝还是成神,https://www.youtube.com/watch?v=WY4XLDBDyuk
【震撼】智商200也无法解答，宇宙最大的谜团，时间,https://www.youtube.com/watch?v=6SkbNlWMG5w
现代技术也无法再现的七个奇迹,https://www.youtube.com/watch?v=KtDGWBqCmtk
【神作】三十六分钟完全解説这部完美闭合的漫画,https://www.youtube.com/watch?v=ZN4yFKJuS4Y
【震撼】海奥华预言，人类起源，耶稣是谁，金字塔之谜，你想知道的答案这里都有,https://www.youtube.com/watch?v=1rUWY2z4wUk
前往地球中心的旅行，超出你想象的地下世界,https://www.youtube.com/watch?v=lRVSC97q8ew
神作！星际效应，用最简单的方式告诉你什么是五维时空,https://www.youtube.com/watch?v=KefYmjM0E7g
宇宙有多大，人类最远可以到达宇宙的什么地方,https://www.youtube.com/watch?v=gH_NIUqOJos
最神奇的星球，地球以及人类存在的真正原因,https://www.youtube.com/watch?v=BLpv9fCZqcs
人类不能再次登上月球的真正原因真是难以置信,https://www.youtube.com/watch?v=2vzwtqhhJv8
“他们”究竟是谁？比金字塔还夸张的远古文明,https://www.youtube.com/watch?v=vA7IJRaW0Eo
可怕的巨大史前生物，我们该庆幸它们已经灭绝了,https://www.youtube.com/watch?v=BXybSLUlFvM
天堂的证明，一个你这辈子都看不到的世界,https://www.youtube.com/watch?v=L8SZQPyB1c8
目前最搞笑的一期，我们本来都是神但由于选择了美貌而变成了人,https://www.youtube.com/watch?v=p25SV0WQWjA
人类消失一万年后，一切都不见了，只有“它”还在,https://www.youtube.com/watch?v=EW77R_D-XCw
人类不能知道的秘密，人族的故事,https://www.youtube.com/watch?v=JVOzntXOGRc
【虽然被警告不要说】但是我还是决定公开这一期,https://www.youtube.com/watch?v=QMsbQ97Ah_M
一万年后的世界不会比现在更先进的真正原因,https://www.youtube.com/watch?v=sWY1PtudTEA
目前介绍过的最厉害的一位，此人两岁就能抬头,https://www.youtube.com/watch?v=t_WGhKQ7xqI
【震撼】看完这期你就无敌了，史上最强战术，不战而胜的奥义，孙子兵法,https://www.youtube.com/watch?v=4CvVL-rSX8E
目前最细思极恐的一期，二十五号宇宙,https://www.youtube.com/watch?v=htz2xCJb3Lc
【目前最长影片】人类不能知道的，完全另一个版本的世界的真相,https://www.youtube.com/watch?v=A7h2clFxyj0
超越认知的印度,https://www.youtube.com/watch?v=0cXTyTmDRUI
它的下面埋藏着关于世界末日的重要信息,https://www.youtube.com/watch?v=Q0pSMTLXvjo
【讲到流泪】二十分钟讲完第一次世界大战,https://www.youtube.com/watch?v=G5y85I52HRg
过去可以被改变的真正原因，被讨厌的勇气,https://www.youtube.com/watch?v=5cZxZCbcOQw
人类的极限，寿命的极限是多少，可以多久不吃饭不睡觉,https://www.youtube.com/watch?v=VCIHVq2GISw
惊人证据揭示地下世界的存在，他们究竟是谁,https://www.youtube.com/watch?v=0AuaFv9pUYE
突然消失的百慕大三角,https://www.youtube.com/watch?v=kb3ZMhR66fY
【月球第三部】人类无法再次登月的另一种可能,https://www.youtube.com/watch?v=Udvl_VJoM94
1万2千年前的这个装置究竟是用来做什麽的,https://www.youtube.com/watch?v=NFH7IErIm3k
碰到就玩完了，世界上最可怕的十大海洋生物,https://www.youtube.com/watch?v=ZYjCi4rpAiQ
地球上智商最高的九种动物，第一名就快变成人了,https://www.youtube.com/watch?v=mjk1Huc_FoY
【摩羯座的人注意了】神就来自你们的守护星,https://www.youtube.com/watch?v=EkELAx2Uk1w
【震撼】亚特兰蒂斯真的找到了，神，真的存在过,https://www.youtube.com/watch?v=QbcKVbL3VOQ
【震撼】进化，从1859到2020,https://www.youtube.com/watch?v=yNFgOL-7nOw
【不好意思，今天的标题可能吓到各位，但我必须说】我们之间其实没有任何关係,https://www.youtube.com/watch?v=nhnrfTb8xzA
地球上最常见却最神奇的东西，水,https://www.youtube.com/watch?v=7q88m5MQRhE
雪山上发生的最不可思议的事,https://www.youtube.com/watch?v=8Y-l9WaOd_w
【完美犯罪】又一个超超超高智商的男人,https://www.youtube.com/watch?v=SSzJdSsLneI
【射手座的人注意了】你们的守护星太危险，风速每秒三百公里，木星,https://www.youtube.com/watch?v=dr9ISxjOO00
你所不了解的天空的世界,https://www.youtube.com/watch?v=x1QyVwFRrIg
【震撼】诺亚方舟，不是神话而是预言，汉字中隐藏的秘密,https://www.youtube.com/watch?v=czNMh9kVhIE
【震撼】地球历史的最大谜团，大洪水,https://www.youtube.com/watch?v=w69h0zCso-o
KFK预言，目前爲止最可信的一个未来人,https://www.youtube.com/watch?v=ZTxc1YY64cM
世界是虚拟的但有一个东西是真实的,https://www.youtube.com/watch?v=B-I2guiXzRA
【费米悖论】人类至今无法发现外星人的14种可能，越往后可能性越大,https://www.youtube.com/watch?v=N4xXGIrzKJs
人类瘟疫史，存活下来的唯一方法,https://www.youtube.com/watch?v=K4t6nF8dDHQ
【震撼】一切都不是巧合，2020真正的预言,https://www.youtube.com/watch?v=wGaTEf0e67U
不可思议的前世记忆，可能你也有,https://www.youtube.com/watch?v=v3kfH0a_dDY
【震撼】史上最深奥的话题，意识,https://www.youtube.com/watch?v=wraBVnAfunc
目前最快的影片，速度的世界,https://www.youtube.com/watch?v=yf7S1s37des
怕海的人不要看，真实的美人鱼,https://www.youtube.com/watch?v=3cHZfgSqPa4
病毒，进化,https://www.youtube.com/watch?v=_oBVDBVTKbU
看得见摸得着却无法解释，世界上最大的谜团，第一集,https://www.youtube.com/watch?v=Ttus8XGK6Xw
超出你想象的贵族阶级，普通人成爲贵族的唯一方法,https://www.youtube.com/watch?v=LS4fUFElLzY
七个可能毁灭世界的科学实验，其中三个还在进行中,https://www.youtube.com/watch?v=ElqnKNkiyHA
你的生日数字相加等于几？如果等于369，那你註定不平凡啊,https://www.youtube.com/watch?v=KQv0lEaDGco
鬼灭之刃，一定要看的真正原因,https://www.youtube.com/watch?v=sHsHOjYvgX4
十年内将会消失的职业，你如果正在做这些工作最好尽快转行,https://www.youtube.com/watch?v=Mshz9DxQLbE
【震撼】不死之身，地球上最强悍的生物,https://www.youtube.com/watch?v=6_PEGMpewpw
世界上最贵的东西,https://www.youtube.com/watch?v=2FLYgFa2ZyI
人爲什么一定要死？其实“不死”比“死”更为可怕,https://www.youtube.com/watch?v=AK4l017rTt4
【震撼】最详尽的阿努纳奇的传説，人类诞生的真正原因，蜥蜴人是怎么来的，莉莉丝究竟是谁,https://www.youtube.com/watch?v=XRHM-KHxqTw
中国古代全都是外星人，而且和苏美神话居然是一样的,https://www.youtube.com/watch?v=nPnNQNCoC9M
【千万不要发生】第三次世界大战预言，世界上只有一个地方可以躲过这个灾难,https://www.youtube.com/watch?v=NqJ0BrUh9S4
我要搬家了，在探索太阳系的时候偶然发现了真正的2021预言，大灾难与太阳黑子数量之间可能存在某种联係,https://www.youtube.com/watch?v=so8E3Cp_OAw
陨石，有什麽“东西”正保护着我们,https://www.youtube.com/watch?v=GJ8VBKwsMGo
看完这个影片你将开始成爲有钱人，普通人成为有钱人的唯一方法,https://www.youtube.com/watch?v=_IMww7gwIus
27分钟讲完十二泰坦与衆神，超越你想象的希腊神话,https://www.youtube.com/watch?v=Yyzb2uvihp4
【标题没写错】最接近最接近神的男人的男人，马斯克,https://www.youtube.com/watch?v=Rw6uwff3RTU
出卖灵魂的正确方法，魔鬼圣经,https://www.youtube.com/watch?v=0vomd4ymSLc
找到了探索黑洞内部的唯一方法 ,https://www.youtube.com/watch?v=eblocB9LzsA
世界上唯一一个仍然在使用魔法的国家,https://www.youtube.com/watch?v=_HZHXVqhayc
【一个人不要看】至少需要4个人一起看的影片,https://www.youtube.com/watch?v=nAc6sGXLueY
波罗的海下的巨大圆盘，它在这里14万年了,https://www.youtube.com/watch?v=QAbx4ruDEm0
这裏出现了太多“不该出现的”东西，和任何古文明都不一样的三星堆,https://www.youtube.com/watch?v=RWuUcYXAleM
一个被封印的事件,https://www.youtube.com/watch?v=vGdg7YC0B6g
如果没有月球，“它们”就会出现在地球上,https://www.youtube.com/watch?v=r46O1ZyEbQY
世界上最富有且最神秘的家族，罗斯柴尔德,https://www.youtube.com/watch?v=SLRLVna14BU
【震撼】濒死体验中看到好多人在排队，领取一样非常重要的东西,https://www.youtube.com/watch?v=2V9tF2ngPn8
